year,month,day,decimalLatitude,decimalLongitude,individualCount
2024.0,8.0,9.0,44.974778,-110.704063,
2024.0,8.0,8.0,44.634581,-110.45898,
2024.0,8.0,1.0,43.81108,-110.649503,
2024.0,8.0,12.0,44.607302,-110.846053,
2024.0,8.0,25.0,44.735924,-110.501425,
2024.0,8.0,27.0,41.044892,-112.239495,
2024.0,8.0,2.0,44.675262,-110.482217,
2024.0,8.0,5.0,47.372302,-114.26276,
2024.0,8.0,31.0,44.571381,-110.818258,
2024.0,8.0,26.0,44.50584,-110.833303,
2024.0,8.0,9.0,44.867882,-110.174525,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,31.0,44.929848,-110.443439,
2024.0,8.0,20.0,44.464912,-110.83432,
2024.0,8.0,31.0,44.95485,-110.50267,
2024.0,8.0,24.0,36.210538,-112.06128,
2024.0,8.0,6.0,43.883962,-102.239374,
2024.0,8.0,14.0,41.053662,-112.395279,
2024.0,8.0,28.0,36.739986,-96.363991,
2024.0,8.0,7.0,61.185803,-123.690346,
2024.0,8.0,28.0,53.602777,-112.863782,
2024.0,8.0,1.0,43.810663,-110.527153,
2024.0,8.0,29.0,44.539172,-110.80234,
2024.0,8.0,6.0,43.89409,-102.414381,
2024.0,8.0,24.0,44.871802,-110.181157,
2024.0,8.0,29.0,53.546775,-112.864136,
2024.0,8.0,31.0,47.342943,-114.162966,
2024.0,8.0,13.0,42.658905,-103.49785,
2024.0,8.0,23.0,46.915468,-103.51552,
2024.0,8.0,30.0,44.58583,-110.829605,
2024.0,8.0,8.0,44.716321,-110.499671,
2024.0,8.0,27.0,44.636976,-110.451551,
2024.0,8.0,7.0,44.644318,-110.458109,
2024.0,8.0,14.0,46.91085,-103.425238,
2024.0,8.0,19.0,43.845012,-102.192543,
2024.0,8.0,4.0,44.7803,-110.74119,
2024.0,8.0,6.0,44.461342,-110.834663,
2024.0,8.0,25.0,44.733511,-110.510635,
2024.0,8.0,24.0,44.943049,-110.078958,
2024.0,8.0,24.0,44.712461,-110.501031,
2024.0,8.0,14.0,44.524455,-109.072861,
2024.0,8.0,15.0,43.90532,-102.307145,
2024.0,8.0,25.0,44.481888,-110.852508,
2024.0,8.0,13.0,46.978965,-103.538709,
2024.0,8.0,17.0,44.673947,-110.572637,
2024.0,8.0,4.0,44.592029,-110.561249,
2024.0,8.0,29.0,59.393997,-126.058542,
2024.0,8.0,10.0,30.622477,-108.70811,
2024.0,8.0,25.0,44.734126,-110.510507,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,22.0,43.739396,-103.432899,
2024.0,8.0,10.0,43.875603,-102.256072,
2024.0,8.0,26.0,43.73798,-103.358879,
2024.0,8.0,3.0,44.874851,-110.209777,
2024.0,8.0,14.0,46.890942,-103.399963,
2024.0,8.0,8.0,44.84305,-110.735481,
2024.0,8.0,24.0,44.609627,-110.3921,
2024.0,8.0,18.0,44.624966,-110.443122,
2024.0,8.0,26.0,44.461013,-110.826805,
2024.0,8.0,4.0,44.592029,-110.561249,
2024.0,8.0,23.0,46.143126,-108.139634,
2024.0,8.0,15.0,43.855642,-102.258562,
2024.0,8.0,17.0,41.059379,-112.242621,
2024.0,8.0,28.0,45.978224,-108.194011,
2024.0,8.0,15.0,44.916125,-110.314144,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,2.0,44.92172,-110.437897,
2024.0,8.0,8.0,44.62436,-110.434615,
2024.0,8.0,31.0,46.956826,-103.508115,
2024.0,8.0,3.0,44.875067,-110.213147,
2024.0,8.0,7.0,44.669568,-110.48224,
2024.0,8.0,24.0,44.894914,-110.136636,
2024.0,8.0,3.0,44.941465,-110.730704,
2024.0,8.0,19.0,43.565123,-103.488853,
2024.0,8.0,21.0,44.892597,-110.262078,
2024.0,8.0,4.0,44.767181,-110.829681,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,10.0,43.895428,-102.282378,
2024.0,8.0,16.0,47.758297,-107.671762,
2024.0,8.0,6.0,44.85902,-110.187967,
2024.0,8.0,24.0,44.934258,-110.084211,
2024.0,8.0,20.0,44.673764,-110.479702,
2024.0,8.0,30.0,34.704228,-98.626464,
2024.0,8.0,14.0,43.555185,-103.462171,
2024.0,8.0,14.0,43.722066,-103.409634,
2024.0,8.0,21.0,59.35353,-125.956345,
2024.0,8.0,16.0,43.607067,-103.49234,
2024.0,8.0,11.0,43.752969,-103.366081,
2024.0,8.0,25.0,44.558575,-110.333719,
2024.0,8.0,28.0,53.623194,-112.857977,
2024.0,8.0,22.0,46.895803,-103.381569,
2024.0,8.0,20.0,43.64917,-103.39898,
2024.0,8.0,12.0,48.016042,-107.923462,
2024.0,8.0,13.0,47.746647,-107.715033,
2024.0,8.0,17.0,43.879405,-102.238787,
2024.0,8.0,24.0,44.873507,-110.205172,
2024.0,8.0,17.0,43.650553,-103.372252,
2024.0,8.0,8.0,49.144255,-107.485399,
2024.0,8.0,25.0,44.758713,-110.477141,
2024.0,8.0,29.0,49.158435,-107.494196,
2024.0,8.0,27.0,44.672981,-110.495087,
2024.0,8.0,28.0,48.517,-112.935,
2024.0,8.0,15.0,44.661176,-110.462844,
2024.0,8.0,27.0,43.625239,-103.48754,
2024.0,8.0,12.0,43.804792,-110.5301,
2024.0,8.0,6.0,43.901158,-102.319372,
2024.0,8.0,11.0,46.95202,-103.53202,
2024.0,8.0,11.0,59.918739,-127.442793,
2024.0,8.0,29.0,49.179035,-107.570587,
2024.0,8.0,12.0,44.91079,-110.372572,
2024.0,8.0,18.0,43.771806,-102.294142,
2024.0,8.0,3.0,44.876296,-110.211808,
2024.0,8.0,31.0,44.62117,-110.856925,
2024.0,8.0,8.0,44.633972,-110.447412,
2024.0,8.0,23.0,44.90778,-110.34008,
2024.0,8.0,26.0,44.986128,-110.690141,
2024.0,8.0,4.0,44.552784,-110.576647,
2024.0,8.0,30.0,44.573426,-110.832035,
2024.0,8.0,3.0,44.902069,-110.244146,
2024.0,8.0,13.0,43.210042,-108.815095,
2024.0,8.0,4.0,43.883705,-102.238678,
2024.0,8.0,25.0,44.631042,-110.854478,
2024.0,8.0,24.0,44.888104,-110.137686,
2024.0,8.0,8.0,47.602082,-103.278157,
2024.0,8.0,19.0,44.499395,-110.839653,
2024.0,8.0,17.0,44.689131,-110.576183,
2024.0,8.0,20.0,46.978965,-103.538709,
2024.0,8.0,26.0,44.914906,-110.268219,
2024.0,8.0,5.0,48.969664,-113.388438,
2024.0,8.0,3.0,44.87592,-110.211075,
2024.0,8.0,30.0,36.832636,-96.431241,
2024.0,8.0,25.0,44.890258,-110.227683,
2024.0,8.0,4.0,44.895036,-110.733906,
2024.0,8.0,25.0,44.662313,-110.464181,
2024.0,8.0,30.0,41.049927,-112.243614,
2024.0,8.0,14.0,44.637087,-110.451583,
2024.0,8.0,5.0,43.8105,-110.526494,
2024.0,8.0,31.0,44.570697,-110.817322,
2024.0,8.0,13.0,43.874147,-102.25292,
2024.0,8.0,5.0,44.582787,-110.576113,
2024.0,8.0,4.0,44.592029,-110.561249,
2024.0,8.0,16.0,46.980145,-103.480372,
2024.0,8.0,20.0,44.92045,-110.352207,
2024.0,8.0,30.0,34.442053,-101.061653,
2024.0,8.0,15.0,36.657136,-96.101943,
2024.0,8.0,6.0,34.417267,-101.062592,
2024.0,8.0,4.0,44.87646,-110.21185,
2024.0,8.0,10.0,44.567237,-110.586471,1.0
2024.0,8.0,29.0,44.542141,-110.799192,
2024.0,8.0,25.0,44.733454,-110.510601,
2024.0,8.0,26.0,44.600157,-110.846559,
2024.0,8.0,25.0,44.733721,-110.51046,
2024.0,8.0,27.0,34.4427,-101.078696,
2024.0,8.0,17.0,34.693028,-98.630287,
2024.0,8.0,2.0,44.592029,-110.561249,
2024.0,8.0,8.0,46.965994,-103.414235,
2024.0,8.0,3.0,44.875067,-110.213147,
2024.0,8.0,10.0,43.812775,-110.50193,
2024.0,8.0,12.0,47.990795,-107.921862,
2024.0,8.0,20.0,44.912117,-110.115036,
2024.0,8.0,21.0,44.892597,-110.262078,
2024.0,8.0,3.0,46.951767,-103.525405,
2024.0,8.0,13.0,45.978224,-108.194011,
2024.0,9.0,14.0,44.619341,-110.424867,
2024.0,9.0,15.0,44.597918,-110.561249,
2024.0,9.0,6.0,43.80723,-110.527717,
2024.0,9.0,14.0,44.643815,-110.45578,
2024.0,9.0,7.0,47.360405,-114.25658,
2024.0,9.0,12.0,44.459773,-110.829003,
2024.0,9.0,14.0,53.597774,-112.849288,
2024.0,9.0,29.0,53.646283,-112.906317,
2024.0,9.0,10.0,41.015791,-112.190164,
2024.0,9.0,7.0,39.841705,-104.86563,
2024.0,9.0,2.0,59.428553,-126.107026,
